Preprocessing,Silhouette,Calinski-Harabasz,Davies-Bouldin
Original,0.5201491302862764,571.0226720251756,0.5479364644067698
Normalize,0.2979566132907914,193.47834013857388,1.0504952799063623
Transform,0.3428382021340458,248.63804981713014,1.1282682038006195
Normalize/Transformed,0.34283820213404587,248.63804981713008,1.1282682038006204
Normalize/Transform/PCA,0.3428382021340458,248.6380498171297,1.1282682038006213
