Preprocessing,Silhouette,Calinski-Harabasz,Davies-Bouldin
Original,0.5683194671116792,864.8826112375747,0.5834630325322964
Normalize,0.34665581609629786,259.6818906280819,1.1257821886107464
Transform,0.36799515982092845,306.1512345354538,1.0316726725605467
Normalize/Transformed,0.36799515982092845,306.1512345354538,1.0316726725605467
Normalize/Transform/PCA,0.36799515982092845,306.1512345354536,1.031672672560546
